Date,Open,High,Low,Close,Volume
2024-01-02,185.50,186.30,183.80,185.10,45231000
2024-01-03,184.20,185.60,183.50,184.80,41892000
2024-01-04,183.90,185.20,182.60,183.50,49021000
2024-01-05,183.80,184.50,181.90,182.70,54322000
2024-01-08,182.50,185.80,182.10,185.30,42115000
2024-01-09,185.40,186.10,184.20,185.60,38201000
2024-01-10,185.70,187.00,185.10,186.50,35012000
2024-01-11,186.80,188.20,186.00,187.80,42310000
2024-01-12,187.50,188.40,186.90,187.20,38400000
2024-01-16,187.00,188.60,186.50,188.10,40100000
2024-01-17,188.20,189.50,187.80,188.80,37200000
2024-01-18,188.50,190.00,188.00,189.70,45300000
2024-01-19,189.90,191.20,189.40,190.80,51200000
2024-01-22,190.50,192.00,190.20,191.50,43600000
2024-01-23,191.30,192.50,190.80,192.10,39800000
2024-01-24,192.00,193.00,191.50,192.80,41500000
2024-01-25,192.50,194.00,192.00,193.50,47200000
2024-01-26,193.20,194.50,192.80,194.10,44100000
2024-01-29,194.00,195.50,193.50,195.00,48900000
2024-01-30,194.80,196.00,194.30,195.50,43200000
2024-01-31,195.20,196.50,194.80,196.00,52100000
2024-02-01,196.50,198.00,196.00,197.50,58200000
2024-02-02,197.80,199.00,197.20,198.50,61500000
2024-02-05,198.20,199.50,197.80,199.00,45600000
2024-02-06,199.10,200.50,198.80,200.20,53400000
2024-02-07,200.00,201.50,199.50,201.00,48700000
2024-02-08,200.80,202.00,200.20,201.50,44200000
2024-02-09,201.30,202.50,200.80,202.00,39100000
2024-02-12,201.80,203.00,201.50,202.50,42300000
2024-02-13,202.00,203.50,201.50,203.00,46800000
2024-02-14,202.80,204.00,202.20,203.50,51200000
2024-02-15,203.20,204.50,202.80,204.00,47500000
2024-02-16,203.80,205.00,203.50,204.50,43100000
2024-02-20,204.20,205.50,203.80,205.00,48900000
2024-02-21,204.80,206.00,204.30,205.50,44600000
2024-02-22,205.20,206.50,204.80,206.00,50200000
2024-02-23,205.80,207.00,205.50,206.50,46800000
2024-02-26,206.00,207.50,205.80,207.00,43500000
2024-02-27,206.80,208.00,206.50,207.50,49100000
2024-02-28,207.20,208.50,206.80,208.00,52300000
2024-02-29,207.80,209.00,207.20,208.50,48700000
2024-03-01,208.50,210.00,208.00,209.50,56200000
2024-03-04,209.20,210.50,208.80,210.00,51400000
2024-03-05,209.80,211.00,209.50,210.50,47800000
2024-03-06,210.20,211.50,209.80,211.00,44200000
2024-03-07,210.80,212.00,210.30,211.50,48600000
2024-03-08,211.20,212.50,210.80,212.00,52100000
2024-03-11,211.80,213.00,211.50,212.50,46500000
2024-03-12,212.00,213.50,211.80,213.00,50200000
2024-03-13,212.50,214.00,212.20,213.50,47800000
